100,3.2316
200,2.9706
300,2.6480
400,2.5816
500,2.5810
600,2.5963
700,2.6341
800,2.6625
900,2.6508
1000,2.5987
1100,2.5589
1200,2.5796
1300,2.5829
1400,2.5406
1500,2.5062
1600,2.5051
1700,2.5318
1800,2.5230
1900,2.5192
2000,2.5146
2100,2.4966
2200,2.5008
2300,2.5149
2400,2.5410
2500,2.5372
2600,2.4879
2700,2.4831
2800,2.5096
2900,2.5210
3000,2.5278
3100,2.4900
3200,2.4897
3300,2.5143
3400,2.5214
3500,2.5281
3600,2.5220
3700,2.5128
3800,2.5253
3900,2.5448
4000,2.5583
4100,2.5604
4200,2.5096
4300,2.4981
4400,2.5422
4500,2.5491
4600,2.5054
4700,2.4552
4800,2.4653
4900,2.4929
5000,2.5023
5100,2.5124
5200,2.4900
5300,2.4861
5400,2.4965
5500,2.5102
5600,2.5353
5700,2.5202
5800,2.4928
5900,2.4804
6000,2.4914
6100,2.4843
6200,2.4728
6300,2.4844
6400,2.5223
6500,2.5619
6600,2.5411
6700,2.5128
6800,2.4986
6900,2.4993
7000,2.5056
7100,2.4836
7200,2.4637
7300,2.4971
7400,2.5615
7500,2.5596
7600,2.5042
7700,2.4913
7800,2.5099
7900,2.5028
8000,2.4855
8100,2.4832
8200,2.5237
8300,2.5264
8400,2.4872
8500,2.4835
8600,2.4943
8700,2.4967
8800,2.5079
8900,2.4908
9000,2.4741
9100,2.4876
9200,2.4839
9300,2.4741
9400,2.4655
9500,2.4787
9600,2.4901
9700,2.4909
9800,2.4923
9900,2.5031
10000,2.4933
10100,2.4788
10200,2.4822
10300,2.4784
10400,2.4920
10500,2.4806
10600,2.4696
10700,2.4968
10800,2.4961
10900,2.4827
11000,2.4889
11100,2.5068
11200,2.5104
11300,2.4895
11400,2.4815
11500,2.4893
11600,2.4754
11700,2.4595
11800,2.4847
11900,2.4933
12000,2.4912
12100,2.4972
12200,2.4969
12300,2.4714
12400,2.4634
12500,2.4891
12600,2.4780
12700,2.4613
12800,2.4781
12900,2.4897
13000,2.4635
13100,2.4446
13200,2.4567
13300,2.4958
13400,2.4937
13500,2.4598
13600,2.4752
13700,2.4965
13800,2.5054
13900,2.4822
14000,2.4468
14100,2.4581
14200,2.4661
14300,2.4509
14400,2.4657
14500,2.4846
14600,2.4838
14700,2.4728
14800,2.4673
14900,2.4701
15000,2.4794
15100,2.4877
15200,2.4667
15300,2.4461
15400,2.4410
15500,2.4705
15600,2.4834
15700,2.4605
15800,2.4453
15900,2.4553
16000,2.4642
16100,2.4368
16200,2.4411
16300,2.4715
16400,2.5018
16500,2.5163
16600,2.5325
16700,2.5243
16800,2.4912
16900,2.4755
17000,2.4926
17100,2.5112
17200,2.4965
17300,2.5030
17400,2.5012
17500,2.4957
17600,2.4877
17700,2.4657
17800,2.4643
17900,2.4957
18000,2.4888
18100,2.4629
18200,2.4573
18300,2.4624
18400,2.4549
18500,2.4493
18600,2.4485
18700,2.4577
18800,2.4616
18900,2.4523
19000,2.4896
19100,2.4983
19200,2.4533
19300,2.4269
19400,2.4476
19500,2.4755
19600,2.4871
19700,2.4601
19800,2.4519
19900,2.4695
20000,2.4636
20100,2.4640
20200,2.4702
20300,2.4736
20400,2.4547
20500,2.4499
20600,2.4664
20700,2.4806
20800,2.4834
20900,2.4596
21000,2.4512
21100,2.4888
21200,2.4922
21300,2.4492
21400,2.4399
21500,2.4501
21600,2.4664
21700,2.4796
21800,2.4698
21900,2.4623
22000,2.4661
22100,2.4611
22200,2.4554
22300,2.4757
22400,2.4610
22500,2.4651
22600,2.4887
22700,2.4673
22800,2.4271
22900,2.4412
23000,2.4612
23100,2.4503
23200,2.4719
23300,2.4686
23400,2.4428
23500,2.4276
23600,2.4611
23700,2.4648
23800,2.4104
23900,2.4180
24000,2.4682
24100,2.4709
24200,2.4342
24300,2.4307
24400,2.4537
24500,2.4468
24600,2.4406
24700,2.4501
24800,2.4645
24900,2.4886
25000,2.4580
25100,2.4344
25200,2.4462
25300,2.4329
25400,2.4589
25500,2.4629
25600,2.4379
25700,2.4435
25800,2.4445
25900,2.4380
26000,2.4332
26100,2.4412
26200,2.4578
26300,2.4586
26400,2.4531
26500,2.4713
26600,2.4691
26700,2.4517
26800,2.4597
26900,2.4541
27000,2.4673
27100,2.4664
27200,2.4375
27300,2.4434
27400,2.4560
27500,2.4481
27600,2.4393
27700,2.4592
27800,2.4825
27900,2.4661
28000,2.4562
28100,2.4603
28200,2.4671
28300,2.4466
28400,2.4412
28500,2.4539
28600,2.4557
28700,2.4632
28800,2.4603
28900,2.4412
29000,2.4234
29100,2.4464
29200,2.4551
29300,2.4447
29400,2.4491
29500,2.4537
29600,2.4585
29700,2.4343
29800,2.4293
29900,2.4717
30000,2.4706
30100,2.4520
30200,2.4544
30300,2.4549
30400,2.4570
30500,2.4560
30600,2.4393
30700,2.4388
30800,2.4487
30900,2.4420
31000,2.4490
31100,2.4609
31200,2.4777
31300,2.4718
31400,2.4570
31500,2.4480
31600,2.4399
31700,2.4564
31800,2.4377
31900,2.4000
32000,2.3959
32100,2.4259
32200,2.4519
32300,2.4474
32400,2.4194
32500,2.4225
32600,2.4472
32700,2.4187
32800,2.4047
32900,2.4288
33000,2.4361
33100,2.4404
33200,2.4520
33300,2.4577
33400,2.4552
33500,2.4496
33600,2.4289
33700,2.4173
33800,2.4341
33900,2.4597
34000,2.4559
34100,2.4435
34200,2.4519
34300,2.4274
34400,2.4154
34500,2.4513
34600,2.4426
34700,2.4198
34800,2.4056
34900,2.4161
35000,2.4301
35100,2.4054
35200,2.4165
35300,2.4259
35400,2.4122
35500,2.4242
